"Date/Time","O3 UVA ppm","O3 4hr UVA ppm","NO Chemiluminescence ppm","NO2 calc Chemiluminescence ppm","NOx Chemiluminescence ppm","SO2 UVF ppm","CO GPC ppm","CO 8hr GPC ppm"
1/01/2016 01:00,,,0.004,0.010,0.014,,0.14,0.20
1/01/2016 02:00,,,,,,,0.26,0.22
1/01/2016 03:00,,,0.078,0.026,0.104,,,0.22
1/01/2016 04:00,,,0.002,0.021,0.023,,0.25,0.24
1/01/2016 05:00,,,0.002,0.013,0.015,,0.25,0.23
1/01/2016 06:00,,,0.001,0.010,0.011,,0.18,0.20
1/01/2016 07:00,,,0.008,0.015,0.022,,0.21,0.21
1/01/2016 08:00,,,0.035,0.034,0.068,,0.29,0.23
1/01/2016 09:00,,,0.039,0.021,0.059,,0.22,0.24
1/01/2016 10:00,,,0.021,0.017,0.038,,0.22,0.23
1/01/2016 11:00,,,0.007,0.009,0.015,,0.20,0.23
1/01/2016 12:00,,,0.011,0.014,0.025,,0.18,0.22
1/01/2016 13:00,,,0.015,0.014,0.029,,0.15,0.21
1/01/2016 14:00,,,0.025,0.016,0.041,,0.14,0.20
1/01/2016 15:00,,,0.022,0.019,0.041,,0.12,0.19
1/01/2016 16:00,,,0.010,0.007,0.017,,0.11,0.17
1/01/2016 17:00,,,0.014,0.014,0.028,,0.12,0.15
1/01/2016 18:00,,,0.028,0.014,0.043,,0.11,0.14
1/01/2016 19:00,,,0.021,0.009,0.030,,0.16,0.14
1/01/2016 20:00,,,0.012,0.009,0.020,,0.14,0.13
1/01/2016 21:00,,,0.017,0.006,0.023,,0.14,0.13
1/01/2016 22:00,,,0.003,0.002,0.005,,0.13,0.13
1/01/2016 23:00,,,0.002,0.002,0.004,,0.13,0.13
2/01/2016 00:00,,,0.001,0.001,0.002,,0.13,0.13
2/01/2016 01:00,,,0.000,0.001,0.001,,0.08,0.13
2/01/2016 02:00,,,0.000,0.000,0.000,,0.07,0.12
2/01/2016 03:00,,,0.000,0.000,0.000,,0.07,0.11
2/01/2016 04:00,,,0.000,0.001,0.001,,0.06,0.10
2/01/2016 05:00,,,0.000,0.001,0.001,,0.06,0.09
2/01/2016 06:00,,,0.000,0.001,0.001,,0.06,0.08
2/01/2016 07:00,,,0.001,0.003,0.004,,0.07,0.08
2/01/2016 08:00,,,0.010,0.005,0.015,,0.08,0.07
2/01/2016 09:00,,,0.006,0.003,0.009,,0.13,0.08
2/01/2016 10:00,,,0.007,0.005,0.012,,0.10,0.08
2/01/2016 11:00,,,0.009,0.006,0.014,,0.12,0.09
2/01/2016 12:00,,,0.009,0.006,0.015,,0.14,0.10
2/01/2016 13:00,,,0.010,0.007,0.017,,0.10,0.10
2/01/2016 14:00,,,0.006,0.005,0.011,,0.10,0.11
2/01/2016 15:00,,,0.009,0.005,0.014,,0.07,0.10
2/01/2016 16:00,,,0.050,0.021,0.071,,0.08,0.11
2/01/2016 17:00,,,0.012,0.005,0.018,,0.08,0.10
2/01/2016 18:00,,,0.006,0.004,0.009,,0.16,0.11
2/01/2016 19:00,,,0.003,0.002,0.006,,0.09,0.10
2/01/2016 20:00,,,0.017,0.005,0.022,,0.09,0.10
2/01/2016 21:00,,,0.009,0.004,0.014,,0.10,0.10
2/01/2016 22:00,,,0.037,0.006,0.044,,0.09,0.10
2/01/2016 23:00,,,0.002,0.002,0.005,,0.11,0.10
3/01/2016 00:00,,,0.002,0.002,0.003,,0.08,0.10
3/01/2016 01:00,,,0.001,0.000,0.001,,0.07,0.10
3/01/2016 02:00,,,,,,,0.06,0.09
3/01/2016 03:00,,,0.001,0.000,0.001,,,0.08
3/01/2016 04:00,,,0.062,0.011,0.073,,0.07,0.08
3/01/2016 05:00,,,0.001,0.002,0.003,,0.07,0.08
3/01/2016 06:00,,,0.001,0.002,0.003,,0.08,0.08
