Date/Time,O3 UVA ppm,O3 4hr UVA ppm,NO Chemiluminescence ppm,NO2 calc Chemiluminescence ppm,NOx Chemiluminescence ppm,SO2 UVF ppm,CO GPC ppm,CO 8hr GPC ppm
1/11/2019 1:00,,,0.001,0.002,0.003,,0.11,0.22
1/11/2019 2:00,,,,,,,0.13,0.19
1/11/2019 3:00,,,0.001,0.002,0.003,,,0.18
1/11/2019 4:00,,,0.001,0.004,0.005,,0.09,0.16
1/11/2019 5:00,,,0.001,0.004,0.005,,0.1,0.14
1/11/2019 6:00,,,0.001,0.01,0.011,,0.13,0.13
1/11/2019 7:00,,,0.012,0.024,0.035,,0.18,0.13
1/11/2019 8:00,,,0.024,0.032,0.056,,0.23,0.14
1/11/2019 9:00,,,0.029,0.034,0.063,,0.25,0.16
1/11/2019 10:00,,,0.042,0.031,0.072,,0.23,0.17
1/11/2019 11:00,,,0.028,0.029,0.057,,0.23,0.18
1/11/2019 12:00,,,0.056,0.04,0.096,,0.22,0.2
1/11/2019 13:00,,,0.078,0.047,0.124,,0.25,0.22
1/11/2019 14:00,,,0.055,0.041,0.096,,0.2,0.22
1/11/2019 15:00,,,0.1,0.041,0.141,,0.24,0.23
1/11/2019 16:00,,,0.041,0.031,0.072,,0.15,0.22
1/11/2019 17:00,,,0.079,0.038,0.117,,0.16,0.21
1/11/2019 18:00,,,0.012,0.012,0.023,,0.07,0.19
1/11/2019 19:00,,,0.007,0.005,0.013,,0.08,0.17
1/11/2019 20:00,,,0.008,0.012,0.02,,0.14,0.16
1/11/2019 21:00,,,0.003,0.011,0.014,,0.18,0.15
1/11/2019 22:00,,,0.007,0.013,0.02,,0.2,0.15
1/11/2019 23:00,,,0.004,0.017,0.021,,0.16,0.14
2/11/2019 0:00,,,0.002,0.014,0.017,,0.17,0.14
2/11/2019 1:00,,,0.002,0.009,0.011,,0.2,0.15
2/11/2019 2:00,,,0.001,0.009,0.01,,0.21,0.17
2/11/2019 3:00,,,0.001,0.007,0.008,,0.19,0.18
2/11/2019 4:00,,,0.001,0.008,0.009,,0.18,0.19
2/11/2019 5:00,,,0.001,0.007,0.008,,0.17,0.19
2/11/2019 6:00,,,0.005,0.014,0.019,,0.21,0.19
2/11/2019 7:00,,,0.009,0.02,0.029,,0.23,0.19
2/11/2019 8:00,,,0.011,0.02,0.03,,0.27,0.21
2/11/2019 9:00,,,0.007,0.014,0.02,,0.23,0.21
2/11/2019 10:00,,,0.018,0.02,0.037,,0.3,0.22
2/11/2019 11:00,,,0.008,0.009,0.016,,0.2,0.22
2/11/2019 12:00,,,0.009,0.01,0.019,,0.18,0.22
2/11/2019 13:00,,,0.008,0.008,0.017,,0.17,0.22
2/11/2019 14:00,,,0.019,0.012,0.031,,0.12,0.21
2/11/2019 15:00,,,0.006,0.005,0.011,,0.07,0.19
