"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/07/2018 01:00,27.5,9.3,7.2,1.010
1/07/2018 02:00,15.3,11.8,7.1,1.010
1/07/2018 03:00,13.8,6.2,6.7,1.010
1/07/2018 04:00,16.3,8.6,6.5,1.010
1/07/2018 05:00,6.8,6.1,6.5,1.010
1/07/2018 06:00,9.4,1.8,6.4,1.010
1/07/2018 07:00,10.5,5.1,6.0,1.011
1/07/2018 08:00,11.3,5.2,6.0,1.011
1/07/2018 09:00,7.4,,7.2,1.012
1/07/2018 10:00,9.3,4.0,10.0,1.012
1/07/2018 11:00,3.7,4.3,13.8,1.012
1/07/2018 12:00,11.8,2.0,15.8,1.012
1/07/2018 13:00,8.1,0.9,16.4,1.011
1/07/2018 14:00,14.0,3.6,15.4,1.009
1/07/2018 15:00,8.9,2.7,16.7,1.009
1/07/2018 16:00,10.3,1.3,15.7,1.008
1/07/2018 17:00,11.4,,14.1,1.008
1/07/2018 18:00,23.4,7.5,12.1,1.008
1/07/2018 19:00,25.0,7.1,11.1,1.009
1/07/2018 20:00,28.1,17.9,10.1,1.010
1/07/2018 21:00,29.6,19.6,9.2,1.010
1/07/2018 22:00,26.2,17.6,8.7,1.009
1/07/2018 23:00,15.9,11.4,8.2,1.010
2/07/2018 00:00,18.8,8.0,8.3,1.010
2/07/2018 01:00,16.2,4.3,8.5,1.010
2/07/2018 02:00,11.5,4.0,8.7,1.009
2/07/2018 03:00,6.9,2.6,8.9,1.009
2/07/2018 04:00,7.0,2.8,8.9,1.008
2/07/2018 05:00,9.0,3.9,8.7,1.008
2/07/2018 06:00,6.3,2.8,8.4,1.008
2/07/2018 07:00,7.5,5.8,8.3,1.008
2/07/2018 08:00,8.5,4.4,8.1,1.009
2/07/2018 09:00,15.0,-1.2,8.8,1.009
2/07/2018 10:00,12.3,4.7,12.2,1.009
2/07/2018 11:00,4.1,,15.7,1.009
2/07/2018 12:00,6.6,-0.7,15.8,1.008
2/07/2018 13:00,6.1,0.9,17.3,1.006
2/07/2018 14:00,14.5,2.2,17.3,1.005
2/07/2018 15:00,15.9,4.2,17.4,1.005
2/07/2018 16:00,19.3,8.9,15.6,1.004
2/07/2018 17:00,25.8,13.5,14.1,1.004
2/07/2018 18:00,27.3,12.3,13.8,1.004
2/07/2018 19:00,26.1,10.9,12.9,1.005
2/07/2018 20:00,24.5,7.1,11.4,1.004
2/07/2018 21:00,18.6,10.2,11.1,1.004
2/07/2018 22:00,11.4,6.1,11.0,1.004
2/07/2018 23:00,11.5,3.6,11.1,1.003
3/07/2018 00:00,7.7,3.8,10.8,1.003
3/07/2018 01:00,8.7,,10.6,1.003
3/07/2018 02:00,4.7,-0.8,11.0,1.003
3/07/2018 03:00,5.0,,11.2,1.004
3/07/2018 04:00,2.7,3.3,11.2,1.003
3/07/2018 05:00,2.8,-0.6,11.3,1.002
3/07/2018 06:00,4.0,4.4,11.2,1.002
3/07/2018 07:00,7.1,-1.5,11.4,1.002
3/07/2018 08:00,10.5,3.7,11.5,1.003
3/07/2018 09:00,6.1,5.0,11.5,1.003
3/07/2018 10:00,10.5,1.8,13.2,1.003
3/07/2018 11:00,7.3,2.2,14.8,1.003
3/07/2018 12:00,11.7,2.3,15.7,1.002
3/07/2018 13:00,15.3,-1.6,18.7,1.001
3/07/2018 14:00,19.7,3.9,18.8,0.999
3/07/2018 15:00,22.2,2.3,19.8,0.999
3/07/2018 16:00,20.3,0.7,19.7,0.998
3/07/2018 17:00,18.1,5.6,17.9,0.998
3/07/2018 18:00,18.8,8.8,16.4,0.998
3/07/2018 19:00,17.9,7.4,15.1,0.998
3/07/2018 20:00,20.3,10.7,14.0,0.999
3/07/2018 21:00,20.2,6.8,13.6,0.999
3/07/2018 22:00,16.4,3.1,13.7,0.999
3/07/2018 23:00,7.3,2.5,13.6,0.998
4/07/2018 00:00,11.5,0.7,13.9,0.998
4/07/2018 01:00,11.5,9.4,13.8,0.997
4/07/2018 02:00,6.5,3.3,13.0,0.997
4/07/2018 03:00,1.4,-1.6,13.1,0.996
4/07/2018 04:00,3.1,3.4,13.4,0.996
4/07/2018 05:00,3.5,1.3,13.0,0.997
4/07/2018 06:00,4.4,0.0,13.1,0.996
4/07/2018 07:00,8.9,2.8,13.8,0.997
4/07/2018 08:00,11.1,4.5,13.4,0.999
4/07/2018 09:00,14.1,10.2,13.4,0.998
4/07/2018 10:00,16.5,7.9,15.2,0.998
4/07/2018 11:00,9.2,0.4,19.1,0.998
4/07/2018 12:00,12.1,3.1,19.5,0.997
4/07/2018 13:00,20.7,3.1,18.7,0.996
4/07/2018 14:00,26.8,8.6,18.5,0.995
4/07/2018 15:00,29.1,4.1,18.5,0.995
4/07/2018 16:00,31.9,7.0,18.5,0.995
4/07/2018 17:00,37.3,,18.1,0.995
4/07/2018 18:00,29.4,4.8,17.4,0.995
4/07/2018 19:00,27.4,5.8,17.0,0.995
4/07/2018 20:00,25.2,9.4,17.1,0.995
4/07/2018 21:00,27.4,9.2,17.2,0.995
4/07/2018 22:00,27.7,7.8,17.0,0.995
4/07/2018 23:00,22.3,7.7,16.7,0.995
5/07/2018 00:00,30.2,5.8,16.8,0.995
5/07/2018 01:00,28.5,4.0,16.5,0.994
5/07/2018 02:00,16.2,3.5,16.4,0.994
5/07/2018 03:00,13.9,2.1,15.2,0.994
5/07/2018 04:00,5.8,4.7,13.5,0.993
5/07/2018 05:00,7.6,2.2,14.2,0.991
5/07/2018 06:00,8.4,-1.0,14.9,0.991
5/07/2018 07:00,4.8,4.8,15.3,0.991
5/07/2018 08:00,5.6,-2.0,16.6,0.990
5/07/2018 09:00,4.7,1.2,17.0,0.990
5/07/2018 10:00,13.7,2.3,17.7,0.990
5/07/2018 11:00,19.3,8.2,17.3,0.990
5/07/2018 12:00,23.7,5.0,16.9,0.988
5/07/2018 13:00,29.1,3.4,16.7,0.988
5/07/2018 14:00,33.4,9.7,16.5,0.987
5/07/2018 15:00,21.7,6.3,15.6,0.987
5/07/2018 16:00,9.9,2.8,15.3,0.987
5/07/2018 17:00,2.9,-0.1,15.7,0.987
5/07/2018 18:00,9.6,1.7,15.4,0.987
5/07/2018 19:00,21.7,8.0,15.2,0.988
5/07/2018 20:00,14.5,2.9,14.8,0.989
5/07/2018 21:00,20.4,10.2,14.0,0.989
5/07/2018 22:00,28.6,8.6,13.7,0.989
5/07/2018 23:00,30.8,12.8,13.7,0.989
6/07/2018 00:00,35.3,9.2,12.5,0.989
6/07/2018 01:00,27.0,18.3,11.7,0.989
6/07/2018 02:00,19.3,8.1,12.2,0.990
6/07/2018 03:00,20.2,7.7,11.9,0.990
6/07/2018 04:00,17.4,6.8,11.3,0.990
6/07/2018 05:00,14.7,6.7,9.8,0.991
6/07/2018 06:00,23.5,11.6,10.7,0.992
6/07/2018 07:00,24.7,11.8,11.0,0.992
6/07/2018 08:00,28.0,8.0,10.0,0.993
6/07/2018 09:00,19.0,10.3,10.7,0.994
6/07/2018 10:00,20.7,5.5,11.7,0.995
6/07/2018 11:00,15.1,5.0,13.5,0.995
6/07/2018 12:00,27.1,4.2,14.9,0.995
6/07/2018 13:00,33.1,6.1,14.3,0.995
6/07/2018 14:00,16.5,5.0,13.0,0.995
6/07/2018 15:00,14.6,1.3,13.7,0.995
6/07/2018 16:00,20.9,7.1,13.9,0.994
6/07/2018 17:00,26.3,8.7,13.5,0.994
6/07/2018 18:00,29.5,7.4,13.2,0.994
6/07/2018 19:00,29.5,7.4,13.0,0.994
6/07/2018 20:00,19.9,4.4,12.9,0.994
6/07/2018 21:00,25.8,8.8,12.8,0.994
6/07/2018 22:00,21.1,1.6,12.7,0.994
6/07/2018 23:00,16.4,9.0,12.3,0.993
7/07/2018 00:00,12.6,0.4,11.5,0.994
7/07/2018 01:00,51.8,29.6,11.4,0.994
7/07/2018 02:00,54.5,28.1,11.3,0.994
7/07/2018 03:00,39.9,10.4,9.8,0.995
7/07/2018 04:00,27.5,9.6,10.8,0.995
7/07/2018 05:00,19.8,7.0,10.5,0.996
7/07/2018 06:00,17.6,6.2,10.6,0.997
7/07/2018 07:00,21.2,8.9,10.8,0.997
7/07/2018 08:00,23.7,8.8,11.2,0.998
7/07/2018 09:00,28.9,4.3,11.5,0.999
